City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,okha,53.5739,142.9478,-19.72,87,100,10.99,RU,1702249766
320,zouerate,22.7187,-12.4521,19.84,22,65,4.31,MR,1702249766
321,lib,8.3122,167.3766,27.31,83,34,6.98,MH,1702249766
322,vadso,70.0744,29.7487,-10.91,85,75,9.77,NO,1702249766
323,borogontsy,62.6683,131.1683,-31.56,94,100,3.47,RU,1702249767
324,quellon,-43.1167,-73.6167,14.01,81,100,2.89,CL,1702249767
325,ixtapa,20.7,-105.2,26.79,74,75,3.6,MX,1702249767
326,yulinshi,38.2906,109.7494,-2.5,90,83,2.71,CN,1702249767
327,san antonio de pale,-1.4014,5.6325,27.41,79,99,5.28,GQ,1702249767
328,faya-largeau,17.9257,19.1043,20.46,31,1,8.41,TD,1702249768
329,conde,-7.2597,-34.9075,26.7,78,0,2.57,BR,1702249768
330,mbalmayo,3.5167,11.5,23.18,94,98,1.39,CM,1702249768
331,kanye,-24.9667,25.3327,17.63,81,100,4.99,BW,1702249768
332,bardai,11.65,7.2333,18.85,26,39,4.52,NG,1702249768
333,moberly,39.4184,-92.4382,3.01,59,0,0.45,US,1702249769
334,yuzhno-kurilsk,44.0306,145.8556,0.76,76,99,5.39,RU,1702249769
335,bastia,42.6667,9.3333,16.28,63,0,5.36,FR,1702249769
336,traverse city,44.7631,-85.6206,1.04,87,100,4.12,US,1702249671
337,tulun,54.5611,100.5792,-37.49,100,52,0.53,RU,1702249770
338,villa zempoala,19.45,-96.4167,20.51,57,100,8.74,MX,1702249770
339,yaren,-0.5472,166.916,28.38,73,26,1.15,NR,1702249770
340,pokrovsk,48.282,37.1758,-0.37,88,100,4.89,UA,1702249770
341,san luis,-33.295,-66.3356,28.69,20,2,5.97,AR,1702249671
342,menongue,-14.6585,17.691,19.79,78,100,1.42,AO,1702249770
343,saldanha,-33.0117,17.9442,16.91,87,0,8.46,ZA,1702249770
344,boone,39.0334,-92.3335,5.14,55,5,2.26,US,1702249737
345,rio grande,-32.035,-52.0986,21.06,88,91,7.6,BR,1702249771
346,mawu,29.5923,107.3139,13.18,96,100,1.06,CN,1702249771
347,karagandy,49.8019,73.1021,-28.03,90,9,3.4,KZ,1702249771
348,kuanda,56.3161,116.0806,-36.71,96,66,0.3,RU,1702249771
